date,value,is_partial,keyword,geo,source
2023-01-01,63,False,inflation,US,Google Trends
2023-01-08,87,False,inflation,US,Google Trends
2023-01-15,68,False,inflation,US,Google Trends
2023-01-22,71,False,inflation,US,Google Trends
2023-01-29,76,False,inflation,US,Google Trends
2023-02-05,77,False,inflation,US,Google Trends
2023-02-12,80,False,inflation,US,Google Trends
2023-02-19,73,False,inflation,US,Google Trends
2023-02-26,72,False,inflation,US,Google Trends
2023-03-05,72,False,inflation,US,Google Trends
2023-03-12,76,False,inflation,US,Google Trends
2023-03-19,76,False,inflation,US,Google Trends
2023-03-26,72,False,inflation,US,Google Trends
2023-04-02,62,False,inflation,US,Google Trends
2023-04-09,84,False,inflation,US,Google Trends
2023-04-16,69,False,inflation,US,Google Trends
2023-04-23,73,False,inflation,US,Google Trends
2023-04-30,71,False,inflation,US,Google Trends
2023-05-07,73,False,inflation,US,Google Trends
2023-05-14,62,False,inflation,US,Google Trends
2023-05-21,57,False,inflation,US,Google Trends
2023-05-28,50,False,inflation,US,Google Trends
2023-06-04,50,False,inflation,US,Google Trends
2023-06-11,66,False,inflation,US,Google Trends
2023-06-18,50,False,inflation,US,Google Trends
2023-06-25,58,False,inflation,US,Google Trends
2023-07-02,54,False,inflation,US,Google Trends
2023-07-09,75,False,inflation,US,Google Trends
2023-07-16,54,False,inflation,US,Google Trends
2023-07-23,57,False,inflation,US,Google Trends
2023-07-30,52,False,inflation,US,Google Trends
2023-08-06,64,False,inflation,US,Google Trends
2023-08-13,60,False,inflation,US,Google Trends
2023-08-20,61,False,inflation,US,Google Trends
2023-08-27,61,False,inflation,US,Google Trends
2023-09-03,57,False,inflation,US,Google Trends
2023-09-10,72,False,inflation,US,Google Trends
2023-09-17,80,False,inflation,US,Google Trends
2023-09-24,66,False,inflation,US,Google Trends
2023-10-01,68,False,inflation,US,Google Trends
2023-10-08,68,False,inflation,US,Google Trends
2023-10-15,66,False,inflation,US,Google Trends
2023-10-22,65,False,inflation,US,Google Trends
2023-10-29,65,False,inflation,US,Google Trends
2023-11-05,67,False,inflation,US,Google Trends
2023-11-12,76,False,inflation,US,Google Trends
2023-11-19,54,False,inflation,US,Google Trends
2023-11-26,72,False,inflation,US,Google Trends
2023-12-03,76,False,inflation,US,Google Trends
2023-12-10,79,False,inflation,US,Google Trends
2023-12-17,61,False,inflation,US,Google Trends
2023-12-24,49,False,inflation,US,Google Trends
2023-12-31,50,False,inflation,US,Google Trends
2024-01-07,64,False,inflation,US,Google Trends
2024-01-14,56,False,inflation,US,Google Trends
2024-01-21,66,False,inflation,US,Google Trends
2024-01-28,65,False,inflation,US,Google Trends
2024-02-04,67,False,inflation,US,Google Trends
2024-02-11,83,False,inflation,US,Google Trends
2024-02-18,73,False,inflation,US,Google Trends
2024-02-25,77,False,inflation,US,Google Trends
2024-03-03,78,False,inflation,US,Google Trends
2024-03-10,80,False,inflation,US,Google Trends
2024-03-17,66,False,inflation,US,Google Trends
2024-03-24,65,False,inflation,US,Google Trends
2024-03-31,67,False,inflation,US,Google Trends
2024-04-07,95,False,inflation,US,Google Trends
2024-04-14,74,False,inflation,US,Google Trends
2024-04-21,76,False,inflation,US,Google Trends
2024-04-28,71,False,inflation,US,Google Trends
2024-05-05,71,False,inflation,US,Google Trends
2024-05-12,82,False,inflation,US,Google Trends
2024-05-19,64,False,inflation,US,Google Trends
2024-05-26,65,False,inflation,US,Google Trends
2024-06-02,59,False,inflation,US,Google Trends
2024-06-09,64,False,inflation,US,Google Trends
2024-06-16,54,False,inflation,US,Google Trends
2024-06-23,67,False,inflation,US,Google Trends
2024-06-30,53,False,inflation,US,Google Trends
2024-07-07,73,False,inflation,US,Google Trends
2024-07-14,58,False,inflation,US,Google Trends
2024-07-21,63,False,inflation,US,Google Trends
2024-07-28,57,False,inflation,US,Google Trends
2024-08-04,57,False,inflation,US,Google Trends
2024-08-11,86,False,inflation,US,Google Trends
2024-08-18,67,False,inflation,US,Google Trends
2024-08-25,64,False,inflation,US,Google Trends
2024-09-01,59,False,inflation,US,Google Trends
2024-09-08,92,False,inflation,US,Google Trends
2024-09-15,75,False,inflation,US,Google Trends
2024-09-22,68,False,inflation,US,Google Trends
2024-09-29,64,False,inflation,US,Google Trends
2024-10-06,67,False,inflation,US,Google Trends
2024-10-13,60,False,inflation,US,Google Trends
2024-10-20,70,False,inflation,US,Google Trends
2024-10-27,73,False,inflation,US,Google Trends
2024-11-03,100,False,inflation,US,Google Trends
2024-11-10,84,False,inflation,US,Google Trends
2024-11-17,67,False,inflation,US,Google Trends
2024-11-24,55,False,inflation,US,Google Trends
2024-12-01,63,False,inflation,US,Google Trends
2024-12-08,74,False,inflation,US,Google Trends
2024-12-15,60,False,inflation,US,Google Trends
2024-12-22,46,False,inflation,US,Google Trends
2024-12-29,47,False,inflation,US,Google Trends
2025-01-05,54,False,inflation,US,Google Trends
2025-01-12,64,False,inflation,US,Google Trends
2025-01-19,70,False,inflation,US,Google Trends
2025-01-26,67,False,inflation,US,Google Trends
2025-02-02,66,False,inflation,US,Google Trends
2025-02-09,83,False,inflation,US,Google Trends
2025-02-16,68,False,inflation,US,Google Trends
2025-02-23,72,False,inflation,US,Google Trends
2025-03-02,69,False,inflation,US,Google Trends
2025-03-09,87,False,inflation,US,Google Trends
2025-03-16,59,False,inflation,US,Google Trends
2025-03-23,61,False,inflation,US,Google Trends
2025-03-30,74,False,inflation,US,Google Trends
2025-04-06,76,False,inflation,US,Google Trends
2025-04-13,55,False,inflation,US,Google Trends
2025-04-20,56,False,inflation,US,Google Trends
2025-04-27,68,False,inflation,US,Google Trends
2025-05-04,58,False,inflation,US,Google Trends
2025-05-11,69,False,inflation,US,Google Trends
2025-05-18,59,False,inflation,US,Google Trends
2025-05-25,53,False,inflation,US,Google Trends
2025-06-01,48,False,inflation,US,Google Trends
2025-06-08,51,False,inflation,US,Google Trends
2025-06-15,43,True,inflation,US,Google Trends
2023-01-01,25,False,recession,US,Google Trends
2023-01-08,24,False,recession,US,Google Trends
2023-01-15,30,False,recession,US,Google Trends
2023-01-22,30,False,recession,US,Google Trends
2023-01-29,26,False,recession,US,Google Trends
2023-02-05,22,False,recession,US,Google Trends
2023-02-12,19,False,recession,US,Google Trends
2023-02-19,17,False,recession,US,Google Trends
2023-02-26,17,False,recession,US,Google Trends
2023-03-05,24,False,recession,US,Google Trends
2023-03-12,29,False,recession,US,Google Trends
2023-03-19,29,False,recession,US,Google Trends
2023-03-26,24,False,recession,US,Google Trends
2023-04-02,21,False,recession,US,Google Trends
2023-04-09,27,False,recession,US,Google Trends
2023-04-16,24,False,recession,US,Google Trends
2023-04-23,25,False,recession,US,Google Trends
2023-04-30,28,False,recession,US,Google Trends
2023-05-07,24,False,recession,US,Google Trends
2023-05-14,22,False,recession,US,Google Trends
2023-05-21,25,False,recession,US,Google Trends
2023-05-28,15,False,recession,US,Google Trends
2023-06-04,18,False,recession,US,Google Trends
2023-06-11,13,False,recession,US,Google Trends
2023-06-18,12,False,recession,US,Google Trends
2023-06-25,12,False,recession,US,Google Trends
2023-07-02,11,False,recession,US,Google Trends
2023-07-09,12,False,recession,US,Google Trends
2023-07-16,13,False,recession,US,Google Trends
2023-07-23,13,False,recession,US,Google Trends
2023-07-30,13,False,recession,US,Google Trends
2023-08-06,12,False,recession,US,Google Trends
2023-08-13,16,False,recession,US,Google Trends
2023-08-20,17,False,recession,US,Google Trends
2023-08-27,13,False,recession,US,Google Trends
2023-09-03,13,False,recession,US,Google Trends
2023-09-10,14,False,recession,US,Google Trends
2023-09-17,13,False,recession,US,Google Trends
2023-09-24,17,False,recession,US,Google Trends
2023-10-01,16,False,recession,US,Google Trends
2023-10-08,13,False,recession,US,Google Trends
2023-10-15,14,False,recession,US,Google Trends
2023-10-22,15,False,recession,US,Google Trends
2023-10-29,16,False,recession,US,Google Trends
2023-11-05,14,False,recession,US,Google Trends
2023-11-12,15,False,recession,US,Google Trends
2023-11-19,9,False,recession,US,Google Trends
2023-11-26,14,False,recession,US,Google Trends
2023-12-03,15,False,recession,US,Google Trends
2023-12-10,15,False,recession,US,Google Trends
2023-12-17,10,False,recession,US,Google Trends
2023-12-24,8,False,recession,US,Google Trends
2023-12-31,9,False,recession,US,Google Trends
2024-01-07,10,False,recession,US,Google Trends
2024-01-14,10,False,recession,US,Google Trends
2024-01-21,12,False,recession,US,Google Trends
2024-01-28,14,False,recession,US,Google Trends
2024-02-04,12,False,recession,US,Google Trends
2024-02-11,19,False,recession,US,Google Trends
2024-02-18,15,False,recession,US,Google Trends
2024-02-25,13,False,recession,US,Google Trends
2024-03-03,14,False,recession,US,Google Trends
2024-03-10,12,False,recession,US,Google Trends
2024-03-17,13,False,recession,US,Google Trends
2024-03-24,12,False,recession,US,Google Trends
2024-03-31,12,False,recession,US,Google Trends
2024-04-07,13,False,recession,US,Google Trends
2024-04-14,15,False,recession,US,Google Trends
2024-04-21,14,False,recession,US,Google Trends
2024-04-28,15,False,recession,US,Google Trends
2024-05-05,15,False,recession,US,Google Trends
2024-05-12,12,False,recession,US,Google Trends
2024-05-19,12,False,recession,US,Google Trends
2024-05-26,10,False,recession,US,Google Trends
2024-06-02,10,False,recession,US,Google Trends
2024-06-09,10,False,recession,US,Google Trends
2024-06-16,8,False,recession,US,Google Trends
2024-06-23,9,False,recession,US,Google Trends
2024-06-30,9,False,recession,US,Google Trends
2024-07-07,11,False,recession,US,Google Trends
2024-07-14,9,False,recession,US,Google Trends
2024-07-21,10,False,recession,US,Google Trends
2024-07-28,19,False,recession,US,Google Trends
2024-08-04,55,False,recession,US,Google Trends
2024-08-11,15,False,recession,US,Google Trends
2024-08-18,13,False,recession,US,Google Trends
2024-08-25,12,False,recession,US,Google Trends
2024-09-01,13,False,recession,US,Google Trends
2024-09-08,15,False,recession,US,Google Trends
2024-09-15,15,False,recession,US,Google Trends
2024-09-22,13,False,recession,US,Google Trends
2024-09-29,13,False,recession,US,Google Trends
2024-10-06,11,False,recession,US,Google Trends
2024-10-13,11,False,recession,US,Google Trends
2024-10-20,12,False,recession,US,Google Trends
2024-10-27,12,False,recession,US,Google Trends
2024-11-03,14,False,recession,US,Google Trends
2024-11-10,15,False,recession,US,Google Trends
2024-11-17,14,False,recession,US,Google Trends
2024-11-24,10,False,recession,US,Google Trends
2024-12-01,12,False,recession,US,Google Trends
2024-12-08,12,False,recession,US,Google Trends
2024-12-15,11,False,recession,US,Google Trends
2024-12-22,7,False,recession,US,Google Trends
2024-12-29,8,False,recession,US,Google Trends
2025-01-05,9,False,recession,US,Google Trends
2025-01-12,10,False,recession,US,Google Trends
2025-01-19,10,False,recession,US,Google Trends
2025-01-26,12,False,recession,US,Google Trends
2025-02-02,15,False,recession,US,Google Trends
2025-02-09,13,False,recession,US,Google Trends
2025-02-16,15,False,recession,US,Google Trends
2025-02-23,19,False,recession,US,Google Trends
2025-03-02,33,False,recession,US,Google Trends
2025-03-09,100,False,recession,US,Google Trends
2025-03-16,31,False,recession,US,Google Trends
2025-03-23,24,False,recession,US,Google Trends
2025-03-30,77,False,recession,US,Google Trends
2025-04-06,87,False,recession,US,Google Trends
2025-04-13,31,False,recession,US,Google Trends
2025-04-20,26,False,recession,US,Google Trends
2025-04-27,37,False,recession,US,Google Trends
2025-05-04,25,False,recession,US,Google Trends
2025-05-11,17,False,recession,US,Google Trends
2025-05-18,15,False,recession,US,Google Trends
2025-05-25,13,False,recession,US,Google Trends
2025-06-01,16,False,recession,US,Google Trends
2025-06-08,12,False,recession,US,Google Trends
2025-06-15,10,True,recession,US,Google Trends
2023-01-01,34,False,interest rates,US,Google Trends
2023-01-08,34,False,interest rates,US,Google Trends
2023-01-15,36,False,interest rates,US,Google Trends
2023-01-22,36,False,interest rates,US,Google Trends
2023-01-29,47,False,interest rates,US,Google Trends
2023-02-05,36,False,interest rates,US,Google Trends
2023-02-12,35,False,interest rates,US,Google Trends
2023-02-19,43,False,interest rates,US,Google Trends
2023-02-26,45,False,interest rates,US,Google Trends
2023-03-05,48,False,interest rates,US,Google Trends
2023-03-12,55,False,interest rates,US,Google Trends
2023-03-19,60,False,interest rates,US,Google Trends
2023-03-26,41,False,interest rates,US,Google Trends
2023-04-02,38,False,interest rates,US,Google Trends
2023-04-09,41,False,interest rates,US,Google Trends
2023-04-16,45,False,interest rates,US,Google Trends
2023-04-23,43,False,interest rates,US,Google Trends
2023-04-30,56,False,interest rates,US,Google Trends
2023-05-07,37,False,interest rates,US,Google Trends
2023-05-14,35,False,interest rates,US,Google Trends
2023-05-21,34,False,interest rates,US,Google Trends
2023-05-28,36,False,interest rates,US,Google Trends
2023-06-04,34,False,interest rates,US,Google Trends
2023-06-11,40,False,interest rates,US,Google Trends
2023-06-18,34,False,interest rates,US,Google Trends
2023-06-25,35,False,interest rates,US,Google Trends
2023-07-02,36,False,interest rates,US,Google Trends
2023-07-09,39,False,interest rates,US,Google Trends
2023-07-16,35,False,interest rates,US,Google Trends
2023-07-23,53,False,interest rates,US,Google Trends
2023-07-30,37,False,interest rates,US,Google Trends
2023-08-06,34,False,interest rates,US,Google Trends
2023-08-13,40,False,interest rates,US,Google Trends
2023-08-20,39,False,interest rates,US,Google Trends
2023-08-27,40,False,interest rates,US,Google Trends
2023-09-03,36,False,interest rates,US,Google Trends
2023-09-10,35,False,interest rates,US,Google Trends
2023-09-17,40,False,interest rates,US,Google Trends
2023-09-24,36,False,interest rates,US,Google Trends
2023-10-01,40,False,interest rates,US,Google Trends
2023-10-08,39,False,interest rates,US,Google Trends
2023-10-15,42,False,interest rates,US,Google Trends
2023-10-22,45,False,interest rates,US,Google Trends
2023-10-29,47,False,interest rates,US,Google Trends
2023-11-05,43,False,interest rates,US,Google Trends
2023-11-12,39,False,interest rates,US,Google Trends
2023-11-19,34,False,interest rates,US,Google Trends
2023-11-26,39,False,interest rates,US,Google Trends
2023-12-03,43,False,interest rates,US,Google Trends
2023-12-10,53,False,interest rates,US,Google Trends
2023-12-17,40,False,interest rates,US,Google Trends
2023-12-24,35,False,interest rates,US,Google Trends
2023-12-31,41,False,interest rates,US,Google Trends
2024-01-07,37,False,interest rates,US,Google Trends
2024-01-14,35,False,interest rates,US,Google Trends
2024-01-21,38,False,interest rates,US,Google Trends
2024-01-28,43,False,interest rates,US,Google Trends
2024-02-04,37,False,interest rates,US,Google Trends
2024-02-11,37,False,interest rates,US,Google Trends
2024-02-18,39,False,interest rates,US,Google Trends
2024-02-25,39,False,interest rates,US,Google Trends
2024-03-03,42,False,interest rates,US,Google Trends
2024-03-10,37,False,interest rates,US,Google Trends
2024-03-17,44,False,interest rates,US,Google Trends
2024-03-24,36,False,interest rates,US,Google Trends
2024-03-31,40,False,interest rates,US,Google Trends
2024-04-07,40,False,interest rates,US,Google Trends
2024-04-14,41,False,interest rates,US,Google Trends
2024-04-21,38,False,interest rates,US,Google Trends
